sentiment,review_body,product_category
1,"I saw this top at my local store and tried it on a whim. it is so much cuter in person than it looks online - i wouldn't have given it a second look based on these pictures... it perhaps runs a tiny bit large  but i stuck with my usual size small since it hung nicer on my body than the xs did. if you're thin you may want to size down - i have a decent amount of ""padding"" that keeps me from wanting to wear anything fitted (5'4""  130 lbs). the little dots are more prevalent in person and the peplu",Blouses
1,"I really love this shirt. the cutouts make it unique and the fabric is super soft for a chambray style. i thought the fit was perfect - i'm 5'5""  120lbs and i ordered an xs. still enough room to be comfortable. super cute! glad i bought it.",Blouses
1,"This shirt is very soft and fits nicely. as with a lot of maeve tops  the arms are a little snug so if you have muscular arms you'll definitely want to size up. it won't make the shirt too ""blousey"" because it will still look really cute tucked in in the front with ankle jeans and a trendy belt. i wish i had gotten this in the blue before it sold out because it is lovely!",Blouses
1,It lays very nicely on your body. very flattering!!!!,Blouses
1,"Fabulous with leggings. i am 5'1""  105 lbs and always wear pxs. the pxs was too large and fit like a ps  so order a size down. i really like it  and going to exchange for a smaller size.",Blouses
1,So soft!! such beautiful fabric!! it flows so gracefully and looks lovely with black leggings as pictured. one of my favorite retailer purchases to date...,Blouses
1,"Such a great purchase! the fit is so flattering to my 5'3"" frame. i usually wear an extra small/small  but i opted for an extra small after reading a review; i'm glad i did. i also did not get the petite  but i imagine it would have a similar fit without the length this has. it flows  yet hits my curves in all the right places. i will say  i'm a c cup and if you have larger breasts  the extra small may not accommodate them as it is just right on me. the black is so slimming especially when pared",Blouses
-1,I read all the reviews about the fabric being see through  but liked the dress enough to give it a shot. it is soooo see through. this trally could only be worn on a beach. very disappointed.,Dresses
-1,"This is a pretty dress  but the cut is quite boxy. i had thought that the dress would cut in a bit along the body and then ""flare out"" more around the waist down to the hem; however  the dress is baggy from the sleeves all the way down  which lends to a rather unflattering look.",Dresses
-1,I loved the fact that this dress is cotton. it is a thin cotton  and you can see in the photos that she is wearing a black slip with a thicker strap. mine came with a nude slip. i'm thinking they all come with a nude slip. i'm not sure why they showed the dress with the black thick strap slip unless it was to show the dress as a thicker cotton than what it actually is. the dress is adorable though which makes it hard for me to decide whether to keep it and hope mine won't tear easily or to retur,Dresses
-1,I fell in love with this dress but when i received it in the mail  i was really surprised to see that unlike the picture online  the slip underneath is a nude color. it fit well and i decided to keep it. i wore it for the first time today and felt great in it. i was driving with my son in the back seat  i turned to hand him something and the entire right side of the dress (where the crocheting is) ripped open!! i cannot believe how poor the quality is at this price!,Dresses
-1,Thought this would be a great dress for warm days  but alas it fit like a sack. love floreat and have a few of their well made dresses. shame this did nothing for my curves. ordered an 8  usually wear a 10 and it was a tad narrow in the shoulders. if you can sport a loose swingy shape  this is a great dress with nice detailing  but sadly the shape did not work for me.,Dresses
-1,I loved the look of this dress online so i went to retailer to try it on. in the dressing room area we were all laughing because (i tried on a small) when i got it tied to the point where it looked like the model online i couldn't raise my arms. the distance between the cuff and the waist is inches! even if you manage to lift your arms the whole dress will go with it and expose you as much as if you weren't wearing a dress at all but a shirt. too bad. poor design for sure  and such a shame when th,Dresses
-1,Gorgeous  but so big. i got eh pxs and it's like a mumu. i wiill return,Dresses
-1,The quality and fabric of this dress are lovely  but unfortunately i found it to be very unflattering and shapeless. it fit me like a sack  i ordered the m and i suppose i should've sized down  but even in the s i'm afraid this would be far too large. for reference  i am 5'7 and 135 lbs. i have a curvy build so this shape dress just wasn't right on me. i imagine it will look cute on more of a boyish figure. returned.,Dresses
-1,I wanted to love this dress. the cut  fit and color are adorable. unfortunately the fabric is super thin. due to the material type it can be clingy in a manner that requires the anti-static spray your mom used to use in the 80s. i was on the fence of keeping it  but if there is so much as a wrinkle in your panty-line the whole world will see it. i would hate to have to wear a slip with this due to static issue. i am most likely going to return it; even at 15% off  it is over-priced for the cheap,Dresses
0,Ugh.  i was so excited to get this dress and for 30% off.  this dress is adorable.  unfortunately the top part is super tight around my girls.  otherwise the fit was perfect.  very disappointed in the top of this dress.,Dresses
0,I am pretty standard size 8  36c  5&amp;#39;6&amp;quot;  150 lbs. i ordered the small and the bust fit well but the whole thing was like a tent and way too flowy for my taste. it was also long so everything was very covered. i didn&amp;#39;t feel it flattered my build. i returned!,Dresses
0,I have a dress very like this from retailer's fall line.  i love it  so i decided to try this one. the fabric is thinner than the other dress  which is good for spring  but it also seemed not such a great quality. i also didn't care for the texture. if this doesn't bother you  the pattern is very cute and the style is flattering. it is cute with a blazer.,Dresses
0,I purchased this dress in my usual petite size 2. it fit me quite well for the most part  a bit tight around the armpit area but the major issue for me was with the front of the dress. there was a weird pocket of extra fabric under my chest area (i'm small chested). also  the bow across the back did not cover my bra strap (below the bow) which made me think i needed to size up. i'm not sure if that would have fixed the weird fit in the front but i just decided to return the dress in the end. the,Dresses
0,This dress has been one that i just adored online and in the store so i was happy when i bought it on sale. i have worn this dress one time  thinking that i would love it. the problem is that as i wore it  the dress continued to stretch out of shape and just did nothing for my curvy bottom half. the dress just looked pulled and stretched out of shape. i would say that it may be the yarn and that it has too much give or at least more give than i want.,Dresses
0,I love the style of this dress  but unfortunately  it runs very small. i normally wear a size 8. i ordered a 10 and the dress was closer to a size 6. disappointed that i had to return it. also  the seams were poorly done and threads hung out everywhere on the hem.,Dresses
0,May look better on someone tall. thin  and straight.,Dresses
0,I ordered the red version--it is incredibly cute  soft  vibrant  and a flattering a-line. however  this dress is sized oddly  running at least one or two sizes too small  particularly at the waistband. i ordered my usual size and one size up  and even the larger size was too snug in the waist.  yet at the same time  i had some gaping at the straps  and i have a full bust. even worse is the *impossible* side-zipper that is a workout to get past the seam at the waistband. trying to wrestle the zip,Dresses
0,"So sad!  this beautiful dress which i have been waiting to receive didn't work for me.  i'm a 5'7"" hourglass girl and it just made me look big!  but i love the pattern and the way it looks on the photo online!  so sad but will return it!0",Dresses
1,I was recently asked to be a speaker at an important fundraising event for homeless & abused women in our city. i wanted to appeal to the affluent crowd by my physical presentation  and let my words follow with a heartfelt presentation of the value & worth of these precious ladies.    retailer has continually helped me present polished & professional  yet still show my personal style & inclusive nature.    it gives me that extra edge of authenticity & encouragement to do the most w/what has,Dresses
1,I am usually a 00 or 0 in dresses  and i ended up with a 4 in this one. i could barley zip up the 0  and while i could have gotten away with the 2  there is no elasticity in the waistband. the 4 is very slightly roomy  but more comfortable than the smaller sizes on me. for reference  i'm 109-111 lbs  5'4  and a 30b.     when i was finally able to wear the dress  i got compliments galore. it really is a beautiful dress! just be sure to size up!,Dresses
1,I recommend this dress for women wth a small bust. this is an absolutely gorgeous dress  but it runs very small through the bodice and is almost empire waisted. if you remember the coral dress from spring by the same designer  it fits the same but this one has a tiered skirt. so sad- i love this dress-the colors and design are beautiful.,Dresses
1,I love  love  love this brand. these people know how to cut and construct a dress. i'm apple-shaped and have trouble finding fitted dresses that flatter me  but this one makes me look curvy and hides my flaws. the pattern lays perfectly and will make you look great. the fabric is high-quality and fully-lined. it's perfect for work or for going out. i love that it's black and bronze-y  because i can wear it with black or brown accessories. i'm generally between a l/xl in retailer and the l fits wel,Dresses
1,Someone returned my size so i got to try it on in store. the cut is very flattering  the material is stretchy. the lace part is nicely made too. overall great piece. the petite waist did hit me a little higher than on model  i have a regular torso and short legs (and overall usually need petite),Dresses
1,This is the little black dress i've been looking for for years -- great slim fit (runs small -- i usually get sized out but the 00 was a snug fit)  eye-catching design. like the other reviewer  i think solid black panels rather than floral brocade would have been classier  but overall a chic dress.,Dresses
1,"Great dress  nicely structured  but the fabric is very thick and since it's lined  it's a very ""warm"" dress. not something you would wear in the spring  especially in the summer. ordered in petite  so hem length was perfect on me (i'm 5').",Dresses
1,I bought this in the green and i had to try a few to get one that sat well- in fact i tried on a size above my normal size and that particular dress was shorter and tighter than my normal size. when i reordered my normal size  it was a pretty good fit. i kept the dress but am still on the fence on whether or not i should actually keep it- it took so long to find one that fit well that it missed the holiday events where i'd hoped to wear it.,Dresses
1,I worry when i have an elastic waist  or something that resembles this  but the dress hangs like a dream. no puffing out  no gathers that you can see. it is not sheath  but not a line either  kind of in between  hits several inches above my knees  but perfect with some black tights for winter. i saw the note about grey  have to try it on agin in daylight  but i would say think black on the top  light camel color on the bottom i am 5'8  typically wear a size 12  and it was true to size for me the,Dresses
-1,I agree with the other reviewer. the colors were fabulous  but it was boxy and fit me like a sack. the slits on the side really detracted from the cute fabric and the hood drooped way in the back due to being able to pull away from the slits. it was really a cute idea and i'm sad it didn't work. i started not to order it based on the first review but i wanted to give it a chance --i should have listened !,Fine gauge
-1,"This is a very pretty sweater  a bit boxy and short but cute. i am 5'1"" and ordered the regular xs in black. the thing i did not like about this sweater was the gold thread through the back lace. i would have kept this if it was plain black lace. just did not like that look.",Fine gauge
-1,I usually wear a size medium in angel of the north but this was very small. i would need to have ordered a size large or xl to have it fit. pretty but returning.,Fine gauge
-1,The fit of this sweater did not flatter my body-type. the top half did not fit well; the armpit area was loose fitting and the neckline was awkward.,Fine gauge
-1,I really liked the design. ordered a medium which was huge. also thought i would not be able to tolerate it because of the material -- a bit itchy. returned it.,Fine gauge
-1,Much to my surprise when i tried on this sweater i found that it was cut in a bell shape and not at all fitted or straight like in the photo. when i pulled it out of the package i thought i'd ordered the wrong size because the shoulders looked so narrow. but when i tried it on the shoulders fit perfectly  with beautiful detail and high quality material  but the sweater belling out to a very wide shape. it is very wide at the hip and looks out of proportion. it doesn't look anything like the phot,Fine gauge
-1,I wanted to love this. however  the fit was funky and the colors were muted. this is definitely something you must try on in the store. too risky to buy online due to weird fit.,Fine gauge
-1,How cute was this little sweater and comfortable even in the south .... until i washed it! i followed the instructions on the label being careful not to wring it out. first of all  the smell was unbelievable! i washed it three days ago and it is still wet and damp and on top of that  it shrunk. even though i handwashed it  line dried it and pampered it to no end!,Fine gauge
-1,Based on the strength of the other reviews  i thought this sweater would be amazing  but i was disappointed. the knit is very thin  cheap looking and weak that it won't last a season undamaged. it reminds me of a duster i bought 15 years ago at a discount fast-fashion retailer when i was a student. sloppy looking with lots of creases out of the package. collar is odd and the sleeve openings have an annoying flare. the drape is not structured enough--everything about this screams over priced bath,Fine gauge
0,"This is a very lightweight  comfy sweater jacket. i wanted to love but didn't find it ""special"" enough for the price. i am usually between a small and medium and tried on both sizes in the gray and the navy. the small fit snug in the shoulder but i liked how the layering showed at the bottom of the front. that look was lost on the medium  though the general fit was better. in the end  the looked medium too sloppy for my taste  and the small felt too small.",Fine gauge
0,I bought this sweater in dark grey in the store. i really loved it at first - it's very soft and cozy and fits really well. i especially like that it's long enough to cover my tummy and butt when i wear skinny jeans or leggings. however  the other reviews that mention it gets fuzz all over the place are accurate. i doubt i would have bought this if i had read them first. it even has dark grey fuzz in the inside of the sleeves. however  my biggest disappointment is that after just one wearing  th,Fine gauge
0,This is really cute but does run large  if your in between sizes size down. the fabric at the front is super bulky but with a smaller size could be ok? it is so itchy  imo uncomfotably so! i would have returned for a smaller size had it not been so uncomfortable  ugh why! i loved the sleeves  very cute bell. and the back hung nicely. they need to make this in a cotton  vocoder and no wool! loved bit couldnt bear it.,Fine gauge
0,Overall nice material and styling but be prepare for it to be huge. i purposely sized down and i still felt like i was swimming in this.,Fine gauge
0,"I'm usually a small (5'5""  116 lbs  long torso)  but the x-small fit well. the black does look see-through in the pictures  but i figured i could wear a cami with it. it is see-through in person if you are up close  mainly in the back and arms since the front has extra fabric in places. however  it is rather short  possibly because it is an x-small  and i'll need a short cami to fit under it or will have to have a cami hanging out of the bottom  which drapes nicely and a cami may mar that effect",Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
0,I like the look of this sweater and i am keeping it. however  i found the fit under the arms a little uncomfortable. there is a large seem that goes under the armpit and is a little bulky and irritating. also would not recommend if you are busty. because of how the stripes run  it looks stretched out over my chest.,Fine gauge
0,I love the style of this top. hand washed before wearing and it looks like a rag before i even got to wear it. very disappointed since i thought it would be a very practical tank.,Fine gauge
0,This thing sheds so much it's almost unuseable but i used an entire roll of sticky roller and got it to the point where i could wear it with only a glob of fuzz on my underwear not other people's couches. it's cute and fits well other than that. buy a sticky roller!,Fine gauge
1,"Wasn't expecting this to look good on when i grabbed it off the sale rack. to my surprise it's very cute. the very high up slits for the 2 front panels and the lightweight knit break up the heavy appearance of this poncho when it's on. you can slip your arms out of the sleeves to keep warm when the evening gets cooler. i love it. got the gray and black stripes on off white background. will try belting the two front panels  as another reviewer suggested. i'm 5'3"" petite. so  it doesn't swallow me",Fine gauge
1,I love this top! although it is a tad big  i expected this because the moth brand usually does run a tad big. however  i am still able to wear it without any nerves that it's too big.... hope that makes sense! the navy was more lovely with my skin + hair  but the yellow was so pretty too!,Fine gauge
1,The pictures don't do this cardi justice. it's so lovely and ladylike. it's seems very well made. please can we have more from this designer??,Fine gauge
1,Bought this sweater as soon as i saw it. the knit ribs and the length help slim your lines. it is flattering even on my heavier mid section. the material is airy but not see through (yay!) i love that the deep v-neck with collar is not too deep for the office. i would buy another if another color becomes available. perfect spring to summer sweater,Fine gauge
1,"I hardly believe i have not reviewed htis yet... so i tried it on in the sotre and was not convinced  my usual xs looked huge and hte ""hip"" part flared out in a funny way. i did  however decide to order it online in petties  to see( i really do love the design in the front  and the hemline is fun and unusual). they didn't have my usual xs so odrdered xxs  just to see... what a great choice  it fits like a glove now and the swaeter is jsut so beautiful... jsut wish it wasn't so pricey  but wil ke",Fine gauge
1,"Trying the gray version on in the store  i found that the size of the armholes varied greatly within the same size. i am a 32c  5'6""  120 lbs. bought the size s. the top looks great with a faded denim skirt and is also appropriate for office environment. i also ordered the ivory in a s  but again  the armholes were so large that i had to return it. if you decide to try this top  order it in multiples of two sizes to find one that fits your arms.",Fine gauge
1,Love this sweater! i almost passed it up on-line because i didn't notice the snails. the sweater is navy and the snails are black. they are so cute and such a fun and unique little accent. the material is a moderate to light-weight sweater. the length was perfect. i have inadvertently purchased a bunch of cropped sweaters this year - this one is not cropped - yay!! the sleeves are actually a bit on the long side. i sized up a little with the idea of wearing it over long sleeved tops. i am typica,Fine gauge
1,I love the tie-dye look! i ordered the blue color in my usual size small. fit is tts. love it!. just a fyi: 1. on mine  one arm is a darker blue tie-dye  the other is very light (color variation). 2. the white band on the mock-neck doesn't give much  so be careful when putting on/taking off.  i think it's pricey  but ordered during the promo so that made it better. it came yesterday  put it on w/ my washed blue skinny jeans  out to dinner we went!,Fine gauge
1,It fits perfectly  slim but not clingy  and it has a beautiful pattern/texture to it. its surprisingly warm for how thin it is and its a great layering piece.,Fine gauge
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
1,I love this robe and can't wait to wear it while i'm getting ready for my upcoming wedding. the only con that i can see is that the sleeves are a bit baggy  but other than that it's perfect!,Intimates
1,I really love this camisole  but it's shorter than i expected.,Intimates
1,It's beautiful  but more sheer on bottom than it appears in photo. size up.,Intimates
1,Runs large  but very beautiful and sexy! the straps are elastic so better to size down.,Intimates
1,Oh how i love this bra!! its so comfortable and very flattering. i find that many bralettes totally flatten me out but this one does not. and the floral lace here is just beautiful. the daisy-type flowers look so cute and feminine! i've got it in so many colors now. for sizing  i'm 34b and the s/m fits great.,Intimates
1,Love this bra! i was looking for something feminine and sexy and this is perfect. it's exactly as pictured. i was worried the material would be too delicate and fragile  but it's really durable! my only issue is that it fits a tiny bit awkwardly because of the solid material on the side  but it doesn't actually look awkward  just feels a bit odd at first. i highly recommend it if you're looking for something sweet and sexy!,Intimates
1,I honestly just love the hanky panky brand. i know it sometimes feels a little extravagant to purchase their lingerie  but the quality  fit and style are so good that it is absolutely worth it. this piece is no exception. i don't normally purchase lingerie like this  but saw this chemise and decided to try it. just as the other pieces from this brand  it's comfortable and gorgeous- so high quality and classy. it's a great cut  the fabric is clearly lace  but beautifully done. and the feel is lov,Intimates
1,I was so excited to receive this in the mail. it fits true to size and is extremely flattering. so glad that i made this purchase,Intimates
1,Love this chemise. perfect blend of comfort and sexy. i bought it in pink  size small. i'm a 32d about 115 lbs and if fit perfectly  i could even probably go to an xs  but i didn't want to wait. the fabric is super soft and the color is vibrant. looks exactly like the picture. decent price.,Intimates
-1,This fell apart after wearing it once. for the price  it should hold up better. it's too delicate.,Jackets
-1,This jacket looks like such the statement piece online with the soft focus lens  but in reality...meh. i think the pattern is gorgeous and would have worked without the studs. and the studs are unique and would have worked on a simple solid color. but put them together and you have the unwanted love child of a laura ashley bag and a marching band jacket. to me  it all felt more cloying than clever.    the quilted fabric and boxy cut of the jacket also makes it unwieldy and uncomfortable. since i,Jackets
-1,This is not a kimono. it's a cocoon. there's a huge difference.  it's also not made very well.,Jackets
-1,The button fell off when i took it out of the bag  and i noticed that all of the thread had unraveled. will be returning :-(,Jackets
-1,Read the reviews and thought i would just remove the label asap to prevent snags since i loved the item!   however  the item came with unrepairable holes  not just snags and they are either on the neck or front sleeve which forces me to return the item asap. didn't even try it on. so sad  but i still love retailer!!!,Jackets
-1,Loved the design but jacket looked like 20 years old because of a lot of piling even brand new jacket at store. i wish they use better quality fabric so i would have purchased it.,Jackets
-1,The colors on this kimono are amazing and i really loved it  however  i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad.,Jackets
-1,Love the jacket! so versatile! would probably order up a size if you like a loose fit.,Jackets
-1,I have blazers in size 8 from this designer and they fit with room to spare. i understand this is a more fitted style  but it is still way too small. size 10 and size 12 were not much bigger. great colors and cute design  but just too small even if you do not plan on buttoning it. i hope they bring back this jacket but make it true to size.,Jackets
0,Should have ordered the xl instead of the large. didn't even come close to being able to button the front but i'm a 34 g. i find sanctuary to run small. beautiful soft green color  fabric is soft too. it is cropped to the waist. decided to return instead of reorder.,Jackets
0,Ordered my regular size large and the fit was a snug around my hips when snapped. i didn't plan on wearing it that way so that wasn't a deal breaker for me. but because i have a larger bust i felt the padding added pounds and lots of width to my frame. i also had the same issues with coloring as other reviewers. and lastly  the collar is really high and it just bugged me. so this one went back.,Jackets
0,"For reference  i'm 113 lbs  with a short torso so i was thrilled when i saw this jacket on-line. i was expecting a soft  comfortable and polished piece. i tried on a standard size xs and the color of the khaki is muted on line  it's a little darker in person and the finishings like zipper plackets are much lighter in contrast. also  it is a ""mixed-media/material"" type. for example  it's linen with soft leather accents  which also have varying tones on the inside of the collar  on the wrist area ",Jackets
0,"How can some reviewers say this jacket is true to size  yet others say it runs small? i think it's because this jacket is cropped. by the time i took advantage of the fall perks 20 percent discount  the xs peach was sold out so i ended up ordering size s. i also got the xs gray to compare. sure enough  the xs looks better but is cropped on me. for ref  i'm 5' 5""  32a  115 lbs. i don't really need another almost black jacket so i'm either sized out or have to exchange for xs peach to wear with dr",Jackets
0,I don't mind loose-fitting clothing  but to say that this product runs large is an understatement. no amount of pulling  tying  pinching could help me get this jacket to fall the way it does on the model in the photo. the arm holes are a foot in diameter for artistic purposes  and the jacket itself is meant to flow far away from the body  i guess. if you try to taper it in with the strings  then end result resembles a rounded beach ball. very disappointed  especially since the design on the fabr,Jackets
0,"Tried the navy in store. boy does it run big! i'm normally a size 6 / small (ish). 5'6""  34a-28-36. the xs was still quite boxy on me while the sleeves were well fitted. i understand this is the style and i like the design with the different sleeves. it was a no buy as the main fabric was already pilling in store and looked a bit cheap - sorry!",Jackets
0,The vest looks  so stylish on. it makes a regular t shirt look edgy with it on. i love the vest but the price is too high,Jackets
0,Delaine blazer so many little details with a slight bit of ruggedness. loved the unmatched buttons  checkered back and fraying that gave this piece personality making it appear less stuffy. easyily dress it up or down  that being said it seems to run true to size except the arms and shoulders were very tight. i would consider going up a size if more of an athletic build. ordered a 4 but i think a 6 would have been perfect!,Jackets
